timestamp,satellite,id,latitude,longitude,height_km
1737768213.035964,Starlink-550 132,132,-33.8446,-0.465,519.51
1737768213.035964,Starlink-550 133,133,-21.8665,12.2,515.03
1737768213.035964,Starlink-550 134,134,-9.0465,22.85,511.36
1737768213.035964,Starlink-550 135,135,4.0765,32.7643,509.31
1737768213.035964,Starlink-550 136,136,17.0753,43.0111,509.12
1737768213.035964,Starlink-550 137,137,29.4713,54.7583,510.46
1737768213.035964,Starlink-550 138,138,40.5424,69.5701,512.55
1737768213.035964,Starlink-550 139,139,49.0357,89.3782,514.45
1737768213.035964,Starlink-550 140,140,53.0472,114.7085,515.36
1737768213.035964,Starlink-550 141,141,51.1398,141.2567,514.92
1737768213.035964,Starlink-550 142,142,44.0531,163.2309,513.31
1737768213.035964,Starlink-550 143,143,33.7456,179.6594,511.18
1737768213.035964,Starlink-550 144,144,21.7316,-167.6771,509.46
1737768213.035964,Starlink-550 145,145,8.8908,-157.0296,509.02
1737768213.035964,Starlink-550 146,146,-4.2355,-147.1158,510.38
1737768213.035964,Starlink-550 147,147,-17.2197,-136.867,513.52
1737768213.035964,Starlink-550 148,148,-29.5851,-125.1172,517.83
1737768213.035964,Starlink-550 149,149,-40.6134,-110.3092,522.27
1737768213.035964,Starlink-550 150,150,-49.062,-90.5298,525.73
1737768213.035964,Starlink-550 151,151,-53.0476,-65.274,527.3
1737768213.035964,Starlink-550 152,152,-51.1529,-38.8129,526.56
1737768213.035964,Starlink-550 153,153,-44.1069,-16.8834,523.72
1737768213.035964,Starlink-550 154,154,-28.0041,11.2159,517.23
1737768213.035964,Starlink-550 155,155,-15.5232,22.6883,513.03
1737768213.035964,Starlink-550 156,156,-2.4955,32.831,510.1
1737768213.035964,Starlink-550 157,157,10.6183,42.7791,508.99
1737768213.035964,Starlink-550 158,158,23.3852,53.6117,509.64
1737768213.035964,Starlink-550 159,159,35.2344,66.6624,511.47
1737768213.035964,Starlink-550 160,160,45.2186,83.7409,513.58
1737768213.035964,Starlink-550 161,161,51.7287,106.4882,515.06
1737768213.035964,Starlink-550 162,162,52.8428,133.2703,515.31
1737768213.035964,Starlink-550 163,163,48.1226,157.994,514.23
1737768213.035964,Starlink-550 164,164,39.1894,177.043,512.26
1737768213.035964,Starlink-550 165,165,27.8856,-168.6599,510.21
1737768213.035964,Starlink-550 166,166,15.3759,-157.1901,509.03
1737768213.035964,Starlink-550 167,167,2.336,-147.0491,509.46
1737768213.035964,Starlink-550 168,168,-10.7722,-137.1002,511.76
1737768213.035964,Starlink-550 169,169,-23.5162,-126.2649,515.59
1737768213.035964,Starlink-550 170,170,-35.3279,-113.2134,520.1
1737768213.035964,Starlink-550 171,171,-45.2665,-96.1479,524.19
1737768213.035964,Starlink-550 172,172,-51.7381,-73.4515,526.79
1737768213.035964,Starlink-550 173,173,-52.8446,-46.7589,527.22
1737768213.035964,Starlink-550 174,174,-48.1542,-22.1039,525.37
1737768213.035964,Starlink-550 175,175,-39.2664,-3.0789,521.72
1737768213.035964,Starlink-550 176,176,-33.8446,9.535,519.51
1737768213.035964,Starlink-550 177,177,-21.8665,22.2,515.03
1737768213.035964,Starlink-550 178,178,-9.0465,32.85,511.36
1737768213.035964,Starlink-550 179,179,4.0765,42.7643,509.31
1737768213.035964,Starlink-550 180,180,17.0753,53.0111,509.12
1737768213.035964,Starlink-550 181,181,29.4713,64.7583,510.46
1737768213.035964,Starlink-550 182,182,40.5424,79.5701,512.55
1737768213.035964,Starlink-550 183,183,49.0357,99.3782,514.45
1737768213.035964,Starlink-550 184,184,53.0472,124.7085,515.36
1737768213.035964,Starlink-550 185,185,51.1398,151.2567,514.92
1737768213.035964,Starlink-550 186,186,44.0531,173.2309,513.31
1737768213.035964,Starlink-550 187,187,33.7456,-170.3406,511.18
1737768213.035964,Starlink-550 188,188,21.7316,-157.6771,509.46
1737768213.035964,Starlink-550 189,189,8.8908,-147.0296,509.02
1737768213.035964,Starlink-550 190,190,-4.2355,-137.1158,510.38
1737768213.035964,Starlink-550 191,191,-17.2197,-126.867,513.52
1737768213.035964,Starlink-550 192,192,-29.5851,-115.1172,517.83
1737768213.035964,Starlink-550 193,193,-40.6134,-100.3092,522.27
1737768213.035964,Starlink-550 194,194,-49.062,-80.5298,525.73
1737768213.035964,Starlink-550 195,195,-53.0476,-55.274,527.3
1737768213.035964,Starlink-550 196,196,-51.1529,-28.8129,526.56
