source,target,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
1255,1351,1.250000,0.065791,0.082239,True,0.077618,-0.004621,8.000000,7.000000,19723709.278469,23269378.182154,4.502639
1255,1351,1.500000,0.065791,0.098687,True,0.077618,-0.021069,8.000000,7.000000,19723709.278469,23269378.182154,4.950397
1255,1351,2.000000,0.065791,0.131582,True,0.077618,-0.053964,8.000000,7.000000,19723709.278469,23269378.182154,4.518889
889,984,1.250000,0.058901,0.073626,True,0.070298,-0.003329,11.000000,3.000000,17658125.338438,21074741.229267,7.218483
889,984,1.500000,0.058901,0.088352,True,0.087923,-0.000428,16.000000,0.000000,17658125.338438,26358744.176838,7.130028
889,984,2.000000,0.058901,0.117802,True,0.092365,-0.025438,14.000000,3.000000,17658125.338438,27690241.237570,7.202954
628,99,1.250000,0.084891,0.106114,True,0.105431,-0.000683,27.000000,1.000000,25449752.279518,31607431.451106,7.537301
628,99,1.500000,0.084891,0.127337,True,0.127373,0.000036,29.000000,5.000000,25449752.279518,38185343.290339,7.793848
628,99,2.000000,0.084891,0.169782,True,0.136683,-0.033100,31.000000,3.000000,25449752.279518,40976509.645179,7.567086
630,688,1.250000,0.063380,0.079225,True,0.083523,0.004298,10.000000,6.000000,19000925.944892,25039531.376882,7.461578
630,688,1.500000,0.063380,0.095070,True,0.096606,0.001535,11.000000,7.000000,19000925.944892,28961714.937616,7.581717
630,688,2.000000,0.063380,0.126761,True,0.101123,-0.025638,13.000000,9.000000,19000925.944892,30315843.946639,7.386215
1337,534,1.250000,0.189662,0.237077,True,0.216925,-0.020152,34.000000,18.000000,56859088.707128,65032466.125806,7.070105
1337,534,1.500000,0.189662,0.284492,True,0.216925,-0.067567,34.000000,18.000000,56859088.707128,65032466.125806,6.775648
1337,534,2.000000,0.189662,0.379323,True,0.216925,-0.162398,34.000000,18.000000,56859088.707128,65032466.125806,6.551045
628,848,1.250000,0.033066,0.041333,True,0.041250,-0.000083,8.000000,3.000000,9913028.735361,12366416.405208,7.526786
628,848,1.500000,0.033066,0.049599,True,0.054317,0.004718,10.000000,3.000000,9913028.735361,16283911.710321,7.529928
628,848,2.000000,0.033066,0.066133,True,0.067498,0.001365,10.000000,5.000000,9913028.735361,20235273.175697,7.422097
325,541,1.250000,0.060338,0.075422,True,0.075867,0.000444,18.000000,1.000000,18088859.270881,22744280.626551,8.133805
325,541,1.500000,0.060338,0.090507,True,0.099796,0.009289,23.000000,0.000000,18088859.270881,29918204.327162,7.716375
325,541,2.000000,0.060338,0.120676,True,0.099796,-0.020879,23.000000,0.000000,18088859.270881,29918204.327162,7.969282
451,495,1.250000,0.006530,0.008162,True,0.015175,0.007012,3.000000,0.000000,1957578.259744,4549238.761929,1.978019
451,495,1.500000,0.006530,0.009795,True,0.015175,0.005380,3.000000,0.000000,1957578.259744,4549238.761929,1.976892
451,495,2.000000,0.006530,0.013060,True,0.015175,0.002115,3.000000,0.000000,1957578.259744,4549238.761929,3.624977
1028,1492,1.250000,0.090419,0.113024,True,0.113103,0.000079,17.000000,11.000000,27107040.725439,33907572.084689,2.555136
1028,1492,1.500000,0.090419,0.135629,True,0.122322,-0.013307,9.000000,21.000000,27107040.725439,36671224.984238,2.694981
1028,1492,2.000000,0.090419,0.180839,True,0.122322,-0.058517,9.000000,21.000000,27107040.725439,36671224.984238,2.527451
1325,1501,1.250000,0.029561,0.036951,True,0.037924,0.000974,4.000000,5.000000,8862049.331932,11369461.484054,3.670340
1325,1501,1.500000,0.029561,0.044341,True,0.037924,-0.006416,4.000000,5.000000,8862049.331932,11369461.484054,3.464847
